住民基本台帳による人口,,,(平成31年1月末日現在）,,,,,,,,
町名,世帯数,人口計,人口（男）,人口（女）,,,,,,,
美原４丁目,1348,2418,1122,1296,,,,,,,
美原５丁目,1135,2212,991,1221,,,,,,,
赤川町,806,1513,726,787,,,,,,,
赤川１丁目,920,1781,839,942,,,,,,,
亀田中野町,362,610,325,285,,,,,,,
北美原１丁目,580,1237,575,662,,,,,,,
北美原２丁目,706,1427,659,768,,,,,,,
北美原３丁目,518,1107,513,594,,,,,,,
水元町,0,0,0,0,,,,,,,
亀田大森町,0,0,0,0,,,,,,,
石川町,2328,5083,2415,2668,,,,,,,
桔梗町,2044,4634,2222,2412,,,,,,,
桔梗１丁目,635,1173,534,639,,,,,,,
桔梗２丁目,795,1666,779,887,,,,,,,
桔梗３丁目,848,1735,806,929,,,,,,,
桔梗４丁目,907,1841,851,990,,,,,,,
桔梗５丁目,955,2214,1088,1126,,,,,,,
西桔梗町,1488,2971,1477,1494,,,,,,,
昭和町,465,1036,513,523,,,,,,,
昭和１丁目,1022,1926,865,1061,,,,,,,
昭和２丁目,1430,2608,1221,1387,,,,,,,
昭和３丁目,1265,2312,1051,1261,,,,,,,
昭和４丁目,1818,3478,1690,1788,,,,,,,
亀田本町,1862,3316,1527,1789,,,,,,,
亀田港町,2163,3972,1845,2127,,,,,,,
亀田支所管内分,60397,115537,53411,62126,,,,,,,
小安町,383,775,348,427,,,,,,,
小安山町,0,0,0,0,,,,,,,
釜谷町,279,488,217,271,,,,,,,
汐首町,90,192,95,97,,,,,,,
瀬田来町,101,236,116,120,,,,,,,
弁才町,71,124,49,75,,,,,,,
泊町,26,49,22,27,,,,,,,
館町,45,81,36,45,,,,,,,
浜町,240,487,229,258,,,,,,,
新二見町,30,53,30,23,,,,,,,
原木町,70,123,58,65,,,,,,,
丸山町,0,0,0,0,,,,,,,
戸井支所管内分,1335,2608,1200,1408,,,,,,,
日浦町,105,207,98,109,,,,,,,
吉畑町,0,0,0,0,,,,,,,
豊浦町,95,201,112,89,,,,,,,
大澗町,150,315,153,162,,,,,,,
中浜町,125,243,116,127,,,,,,,
女那川町,180,342,177,165,,,,,,,
川上町,95,157,67,90,,,,,,,
日和山町,0,0,0,0,,,,,,,
高岱町,50,81,36,45,,,,,,,
日ノ浜町,212,353,147,206,,,,,,,
古武井町,96,168,82,86,,,,,,,
恵山町,289,540,271,269,,,,,,,
柏野町,108,219,96,123,,,,,,,
御崎町,55,108,54,54,,,,,,,
恵山支所管内分,1560,2934,1409,1525,,,,,,,
恵山岬町,11,20,11,9,,,,,,,
元村町,35,69,31,38,,,,,,,
富浦町,40,81,39,42,,,,,,,
島泊町,29,50,18,32,,,,,,,
新恵山町,7,16,12,4,,,,,,,
絵紙山町,2,3,2,1,,,,,,,
新八幡町,67,132,61,71,,,,,,,
新浜町,157,305,143,162,,,,,,,
銚子町,101,222,105,117,,,,,,,
椴法華支所管内分,449,898,422,476,,,,,,,
古部町,62,121,61,60,,,,,,,
木直町,287,638,309,329,,,,,,,
尾札部町,604,1278,618,660,,,,,,,
川汲町,542,1064,483,581,,,,,,,
安浦町,175,343,157,186,,,,,,,
臼尻町,325,621,306,315,,,,,,,
豊崎町,148,316,147,169,,,,,,,
大船町,185,416,210,206,,,,,,,
双見町,64,146,72,74,,,,,,,
岩戸町,62,164,90,74,,,,,,,
南茅部支所管内分,2454,5107,2453,2654,,,,,,,
計,142349,258616,117784,140832,,,,,,,
うち外国人,935,1051,375,676,,,,,,,
